review_id,user_id,product_id,rating,review_text,review_date
1,35,1836,5,Packaging zabardast thi.,2026-01-09 15:45:45.993118
2,292,2984,3,Original product hai.,2025-12-30 15:45:45.993132
3,62,1761,5,Packaging zabardast thi.,2025-10-15 15:45:45.993135
4,42,521,4,Quality thori average thi.,2025-07-15 15:45:45.993137
5,129,2433,4,Packaging zabardast thi.,2025-11-27 15:45:45.993139
6,120,1309,5,Bohat achi quality hai.,2025-11-04 15:45:45.993142
7,535,2564,4,Packaging zabardast thi.,2025-07-16 15:45:45.993144
8,40,2867,5,Packaging zabardast thi.,2025-12-19 15:45:45.993148
9,638,1938,5,Bohat achi quality hai.,2025-04-10 15:45:45.993151
10,782,393,4,Original product hai.,2026-01-18 15:45:45.993154
11,961,2973,3,Quality thori average thi.,2025-11-07 15:45:45.993156
12,214,218,5,Price ke hisaab se acha hai.,2025-08-12 15:45:45.993158
13,542,2438,4,Price ke hisaab se acha hai.,2025-03-25 15:45:45.993160
14,317,1882,3,Quality thori average thi.,2025-08-20 15:45:45.993162
15,272,951,3,Price ke hisaab se acha hai.,2025-10-14 15:45:45.993164
16,424,59,3,Packaging zabardast thi.,2025-06-23 15:45:45.993166
17,530,2420,4,Bohat achi quality hai.,2025-11-29 15:45:45.993168
18,319,1849,3,Packaging zabardast thi.,2025-05-02 15:45:45.993171
19,287,667,5,Original product hai.,2025-07-30 15:45:45.993173
20,855,852,5,Original product hai.,2026-01-25 15:45:45.993175
21,326,36,5,Delivery time par mil gaya.,2025-03-11 15:45:45.993177
22,576,1696,4,Quality thori average thi.,2025-08-18 15:45:45.993179
23,863,1012,4,Packaging zabardast thi.,2026-01-24 15:45:45.993181
24,753,2551,3,Original product hai.,2026-02-06 15:45:45.993183
25,726,1688,4,Price ke hisaab se acha hai.,2026-01-01 15:45:45.993185
26,315,394,3,Packaging zabardast thi.,2025-03-01 15:45:45.993187
27,784,318,3,Packaging zabardast thi.,2025-11-06 15:45:45.993189
28,167,274,3,Price ke hisaab se acha hai.,2025-06-11 15:45:45.993191
29,938,87,5,Original product hai.,2025-02-17 15:45:45.993193
30,145,2280,3,Price ke hisaab se acha hai.,2025-02-24 15:45:45.993195
31,318,1827,4,Packaging zabardast thi.,2026-02-05 15:45:45.993197
32,11,904,5,Quality thori average thi.,2025-11-30 15:45:45.993199
33,963,1057,5,Delivery time par mil gaya.,2025-07-11 15:45:45.993201
34,867,2819,5,Packaging zabardast thi.,2026-02-04 15:45:45.993203
35,895,1043,5,Bohat achi quality hai.,2025-07-09 15:45:45.993205
36,900,1759,4,Original product hai.,2025-09-21 15:45:45.993207
37,712,2225,5,Bohat achi quality hai.,2025-05-16 15:45:45.993209
38,352,413,4,Original product hai.,2025-10-21 15:45:45.993211
39,928,1413,5,Packaging zabardast thi.,2025-11-14 15:45:45.993213
40,579,1770,4,Delivery time par mil gaya.,2025-07-13 15:45:45.993215
41,178,2943,5,Price ke hisaab se acha hai.,2025-07-15 15:45:45.993217
42,227,2384,5,Delivery time par mil gaya.,2025-02-27 15:45:45.993219
43,310,1925,4,Delivery time par mil gaya.,2025-05-11 15:45:45.993221
44,868,869,5,Delivery time par mil gaya.,2025-05-17 15:45:45.993224
45,812,2965,4,Packaging zabardast thi.,2025-05-06 15:45:45.993227
46,388,1815,4,Original product hai.,2025-05-19 15:45:45.993230
47,34,1159,4,Packaging zabardast thi.,2025-04-04 15:45:45.993233
48,396,386,4,Quality thori average thi.,2025-03-16 15:45:45.993237
49,642,208,3,Bohat achi quality hai.,2025-03-15 15:45:45.993240
50,408,1045,3,Price ke hisaab se acha hai.,2025-04-03 15:45:45.993243
51,473,1300,5,Bohat achi quality hai.,2025-07-01 15:45:45.993247
52,842,71,4,Bohat achi quality hai.,2025-12-18 15:45:45.993250
53,516,716,4,Quality thori average thi.,2025-12-02 15:45:45.993253
54,74,1213,4,Bohat achi quality hai.,2025-08-31 15:45:45.993258
55,532,2691,4,Bohat achi quality hai.,2025-04-10 15:45:45.993261
56,292,144,4,Delivery time par mil gaya.,2025-09-21 15:45:45.993265
57,359,1377,5,Packaging zabardast thi.,2025-03-20 15:45:45.993274
58,138,1525,4,Quality thori average thi.,2025-10-03 15:45:45.993278
59,529,699,4,Bohat achi quality hai.,2026-02-13 15:45:45.993280
60,92,2674,4,Original product hai.,2026-01-11 15:45:45.993282
61,11,478,5,Price ke hisaab se acha hai.,2025-10-02 15:45:45.993284
62,47,2732,4,Price ke hisaab se acha hai.,2026-01-07 15:45:45.993286
63,600,2808,5,Quality thori average thi.,2025-07-24 15:45:45.993288
64,172,2604,3,Price ke hisaab se acha hai.,2025-11-01 15:45:45.993290
65,976,199,5,Quality thori average thi.,2025-04-15 15:45:45.993292
66,457,2168,3,Original product hai.,2025-12-24 15:45:45.993295
67,374,566,5,Quality thori average thi.,2025-02-23 15:45:45.993296
68,117,2717,3,Quality thori average thi.,2025-07-10 15:45:45.993298
69,637,1734,5,Bohat achi quality hai.,2025-04-13 15:45:45.993300
70,70,2182,4,Bohat achi quality hai.,2025-10-17 15:45:45.993302
71,860,1272,4,Quality thori average thi.,2025-11-06 15:45:45.993304
72,349,1816,4,Packaging zabardast thi.,2025-02-18 15:45:45.993307
73,413,12,3,Packaging zabardast thi.,2025-06-20 15:45:45.993309
74,878,2567,4,Original product hai.,2025-11-28 15:45:45.993311
75,985,2445,5,Original product hai.,2025-03-15 15:45:45.993313
76,995,1852,5,Original product hai.,2026-01-28 15:45:45.993315
77,4,2519,4,Bohat achi quality hai.,2025-11-24 15:45:45.993317
78,192,2065,5,Original product hai.,2025-12-12 15:45:45.993320
79,812,2052,4,Quality thori average thi.,2025-07-01 15:45:45.993322
80,628,117,3,Original product hai.,2025-03-25 15:45:45.993324
81,291,1901,4,Original product hai.,2025-03-24 15:45:45.993326
82,431,1181,3,Original product hai.,2025-05-25 15:45:45.993328
83,504,2451,3,Quality thori average thi.,2025-04-17 15:45:45.993330
